k,start,end,matches,median_range_logerr,mean_range_logerr,median_close_logerr,mean_close_logerr,inside_daily_range
154,1990-12-17 09:24:17.359000+00:00,2028-08-29 01:47:23.210000+00:00,753,0.20611248128023815,0.3469399567658388,0.20695480302510624,0.35221021279671944,0.03718459495351926
188,1995-08-03 12:59:05.423000+00:00,2033-04-15 05:22:11.274000+00:00,574,0.21404715800562288,0.31209297010061554,0.21763177236056958,0.31719762112195077,0.024390243902439025
156,1991-03-26 19:29:51.951000+00:00,2028-12-06 11:52:57.802000+00:00,745,0.21436704444990423,0.35804790011156445,0.2212813498944241,0.36348180359606563,0.036241610738255034
140,1989-01-20 10:45:15.215000+00:00,2026-10-03 03:08:21.066000+00:00,772,0.21563228913465293,0.33605384266776955,0.2208109306643172,0.34082980522023787,0.042746113989637305
139,1988-12-01 17:42:27.919000+00:00,2026-08-14 10:05:33.770000+00:00,794,0.2169404513254452,0.3389363446776651,0.2237796670342685,0.34385835155908034,0.030226700251889168
192,1996-02-18 09:10:14.607000+00:00,2033-10-31 01:33:20.458000+00:00,580,0.22226245039573111,0.29644248840352433,0.22965442015075466,0.30156671140727254,0.02413793103448276
155,1991-02-05 02:27:04.655000+00:00,2028-10-17 18:50:10.506000+00:00,757,0.22568174932560295,0.36307245191370724,0.23478726914931577,0.368036877853811,0.03038309114927345
138,1988-10-13 00:39:40.623000+00:00,2026-06-25 17:02:46.474000+00:00,812,0.23214112805384662,0.36530153138172083,0.23692866699824344,0.3706911867108946,0.0332512315270936
191,1995-12-30 16:07:27.311000+00:00,2033-09-11 08:30:33.162000+00:00,554,0.23551040695203834,0.31008981276080405,0.2383365650628964,0.31464186597347854,0.02888086642599278
193,1996-04-08 02:13:01.903000+00:00,2033-12-19 18:36:07.754000+00:00,610,0.24264701305966346,0.29728692578844135,0.24547420144439258,0.3023144655463569,0.036065573770491806
137,1988-08-24 07:36:53.327000+00:00,2026-05-06 23:59:59.178000+00:00,840,0.24304795818676062,0.3812398750548269,0.2506347538817024,0.3862284140683244,0.013095238095238096
194,1996-05-27 19:15:49.199000+00:00,2034-02-07 11:38:55.050000+00:00,609,0.25770631268584626,0.2955902081804971,0.2665802013598498,0.3003458052571037,0.041050903119868636
136,1988-07-05 14:34:06.031000+00:00,2026-03-18 06:57:11.882000+00:00,843,0.2674631426378471,0.39734113899757556,0.27645677825763665,0.4023538962364991,0.010676156583629894
197,1996-10-23 22:24:11.087000+00:00,2034-07-06 14:47:16.938000+00:00,533,0.27160678713627595,0.3105816535262018,0.27989852154293327,0.3155810731220274,0.0225140712945591
195,1996-07-16 12:18:36.495000+00:00,2034-03-29 04:41:42.346000+00:00,572,0.2727046290543882,0.28941143522392804,0.2774525719519615,0.2949630431310446,0.0472027972027972
199,1997-01-31 08:29:45.679000+00:00,2034-10-14 00:52:51.530000+00:00,490,0.2736535843076149,0.2986827839805867,0.28080843017673296,0.30395386808889924,0.026530612244897958
200,1997-03-22 01:32:32.975000+00:00,2034-12-02 17:55:38.826000+00:00,504,0.27770910771378854,0.300860151273756,0.28144082949440663,0.3060219939486827,0.015873015873015872
196,1996-09-04 05:21:23.791000+00:00,2034-05-17 21:44:29.642000+00:00,558,0.2793012266308722,0.3032260461733147,0.28522984304224075,0.30795332052481633,0.023297491039426525
202,1997-06-29 11:38:07.567000+00:00,2035-03-12 04:01:13.418000+00:00,541,0.27958365323901085,0.30792906453138935,0.2864017443132186,0.3131407664149927,0.036968576709796676
204,1997-10-06 21:43:42.159000+00:00,2035-06-19 14:06:48.010000+00:00,567,0.2822764956566619,0.3120877259309941,0.2877143979026296,0.3171354173498479,0.024691358024691357
205,1997-11-25 14:46:29.455000+00:00,2035-08-08 07:09:35.306000+00:00,545,0.28398458173443025,0.3059712845689688,0.29941978458697055,0.3112350563765226,0.01834862385321101
201,1997-05-10 18:35:20.271000+00:00,2035-01-21 10:58:26.122000+00:00,514,0.28538897892677617,0.3073331906971365,0.29408430658377777,0.31256788071479424,0.023346303501945526
198,1996-12-12 15:26:58.383000+00:00,2034-08-25 07:50:04.234000+00:00,510,0.28578861870403616,0.3077022985109237,0.28847128652043247,0.31302289594186294,0.021568627450980392
203,1997-08-18 04:40:54.863000+00:00,2035-04-30 21:04:00.714000+00:00,564,0.28627369236521505,0.3084786143782682,0.289045433509995,0.31395396204276094,0.028368794326241134
213,1998-12-28 07:08:47.823000+00:00,2036-09-08 23:31:53.674000+00:00,524,0.29303283342612063,0.32262008952671944,0.299259089252047,0.3279724108709905,0.009541984732824428
212,1998-11-08 14:06:00.527000+00:00,2036-07-21 06:29:06.378000+00:00,491,0.29335564186070534,0.3073534470784352,0.29874397701985406,0.3125184159988631,0.02240325865580448
