source_row_group,timestamp_cycle,path_score,local_best_cycle,local_best_score,second_best_cycle,second_best_score
353,368,0.002301767644543749,368,0.002301767644543749,365,0.003105130201761742
354,366,0.003198502742332595,366,0.003198502742332595,303,0.015445448725612335
355,366,0.0010431308627585605,366,0.0010431308627585605,318,0.006424732305290866
356,366,0.001891554606008654,366,0.001891554606008654,318,0.030034493701586285
357,367,0.0037454324985060307,367,0.0037454324985060307,365,0.013722347923836984
358,366,0.00040211429652024767,366,0.00040211429652024767,365,0.01453366309523617
359,367,0.002291086780569017,367,0.002291086780569017,312,0.008701107023314617
360,367,0.001880079624456281,367,0.001880079624456281,311,0.016317451577551316
361,367,0.002640394979253924,367,0.002640394979253924,317,0.0048529164694653525
362,366,1.0,240,1.0,241,1.0
363,368,0.0016033451603773338,368,0.0016033451603773338,312,0.006602613100178216
364,368,0.0009305021673865694,368,0.0009305021673865694,308,0.006668853296051241
365,368,0.0018619385791638242,368,0.0018619385791638242,310,0.007820033807604416
366,387,0.01975373518550934,387,0.01975373518550934,367,0.036399041155680635
367,369,0.011796111863767788,369,0.011796111863767788,368,0.019368048354920616
368,368,0.007987074795063574,368,0.007987074795063574,364,0.013311632837157432
369,369,0.00391827198843971,369,0.00391827198843971,313,0.019392558760517195
370,369,0.004702851902041829,369,0.004702851902041829,370,0.005405563458883314
371,369,0.003183114969857717,369,0.003183114969857717,370,0.007288268407562896
372,370,0.00248763387429336,370,0.00248763387429336,308,0.008809790735178952
373,370,0.0016603064160893633,370,0.0016603064160893633,315,0.003340872272965882
374,307,0.008049227101748057,369,0.002996024478525608,309,0.006228562281467022
375,336,1.0,240,1.0,241,1.0
376,370,0.00555721071413676,370,0.00555721071413676,314,0.009988346856566134
377,370,0.0018814700060349973,370,0.0018814700060349973,314,0.002392374858130347
378,370,0.0007237319675372312,370,0.0007237319675372312,386,0.004764455318807795
379,370,0.0026241354306463043,370,0.0026241354306463043,376,0.005594684332095052
380,371,0.0017588762426844285,371,0.0017588762426844285,314,0.002532432015585939
381,371,0.0007692340496695581,371,0.0007692340496695581,389,0.0041680974073111665
