entry_time,exit_time,direction,leader_close,xau_entry,xau_exit,gross,spread_cost,pnl,equity
2026-04-02 17:30:00+00:00,2026-04-06 08:15:00,-1,654.2999877929688,4651.8165,4686.77,-34.95350000000053,1.9015296529516648,-36.8550296529522,-49.78888394712526
2026-04-06 08:15:00+00:00,2026-04-06 09:00:00,-1,657.2412,4686.77,4698.9915,-12.22149999999965,1.5874595511015515,-13.808959551101202,-63.59784349822646
2026-04-06 09:05:00+00:00,2026-04-06 09:50:00,-1,658.3712,4699.1715,4693.91,5.261500000000524,1.5128613027265803,3.7486386972739436,-59.84920480095251
2026-04-06 09:50:00+00:00,2026-04-06 10:35:00,1,657.52,4693.91,4692.09,-1.819999999999709,1.5684425145494507,-3.3884425145491597,-63.237647315501675
2026-04-06 10:40:00+00:00,2026-04-06 12:25:00,1,657.44,4695.52,4666.23,-29.290000000000873,1.5765785610786662,-30.86657856107954,-94.10422587658121
2026-04-06 12:30:00+00:00,2026-04-06 13:30:00,1,656.755,4673.8,4671.3415,-2.458499999999731,1.7639891642149064,-4.222489164214637,-98.32671504079585
2026-04-06 13:35:00+00:00,2026-04-06 14:20:00,-1,656.59521484375,4673.98,4685.83,-11.850000000000364,1.9243543116204964,-13.77435431162086,-112.1010693524167
2026-04-06 14:20:00+00:00,2026-04-06 15:05:00,-1,658.630126953125,4685.83,4667.5665,18.263500000000022,2.1272244219340486,16.136275578065973,-95.96479377435072
2026-04-06 15:05:00+00:00,2026-04-06 15:50:00,1,657.739990234375,4667.5665,4665.7835,-1.7830000000003565,1.8990273414347545,-3.682027341435111,-99.64682111578584
2026-04-06 15:55:00+00:00,2026-04-06 16:40:00,-1,657.8499755859375,4668.1665,4663.41,4.756500000000415,1.95328909180076,2.803210908199655,-96.84361020758618
2026-04-06 16:40:00+00:00,2026-04-06 18:25:00,-1,658.2650146484375,4663.41,4660.4385,2.9714999999996508,1.9410486023461733,1.0304513976534775,-95.8131588099327
2026-04-06 18:35:00+00:00,2026-04-06 20:20:00,-1,657.8900756835938,4649.7885,4656.585,-6.796500000000378,1.7573932098201328,-8.553893209820512,-104.36705201975322
2026-04-06 20:20:00+00:00,2026-04-06 22:05:00,-1,658.69,4656.585,4667.41,-10.824999999999818,1.7593368501536524,-12.58433685015347,-116.95138886990668
2026-04-06 22:05:00+00:00,2026-04-06 22:50:00,-1,659.17,4667.41,4657.8865,9.52350000000024,2.1383007381703107,7.385199261829929,-109.56618960807675
2026-04-06 22:50:00+00:00,2026-04-06 23:35:00,1,658.11,4657.8865,4655.2,-2.6864999999997963,1.7776087029196457,-4.464108702919442,-114.0302983109962
2026-04-10 13:35:00+00:00,2026-04-10 17:20:00,-1,680.739990234375,4775.9885,4764.56,11.428499999999985,1.5648610907530451,9.86363890924694,-104.16665940174926
2026-04-10 17:20:00+00:00,2026-04-10 18:05:00,1,678.8200073242188,4764.56,4756.35,-8.210000000000036,1.5637211800066446,-9.773721180006682,-113.94038058175593
2026-04-10 19:15:00+00:00,2026-04-10 20:00:00,-1,679.864990234375,4769.4135,4752.8965,16.516999999999825,1.4670040447021855,15.04999595529764,-98.89038462645829
2026-04-10 20:20:00+00:00,2026-04-13 08:05:00,-1,679.63,4748.6715,4734.255,14.41650000000027,1.8625474061383596,12.55395259386191,-86.33643203259638
2026-04-13 08:05:00+00:00,2026-04-13 08:50:00,1,675.5177,4734.255,4725.4185,-8.836500000000342,1.2477970731555803,-10.084297073155922,-96.4207291057523
2026-04-13 09:00:00+00:00,2026-04-13 09:45:00,1,675.74,4727.015,4713.815,-13.200000000000728,1.2293257140922993,-14.429325714093027,-110.85005481984533
2026-04-13 09:50:00+00:00,2026-04-13 10:35:00,1,675.39,4715.435,4717.52,2.0850000000000364,1.2165730416442762,0.8684269583557602,-109.98162786148957
2026-04-13 11:00:00+00:00,2026-04-13 11:45:00,-1,676.46,4725.305,4708.845,16.460000000000036,1.2376306330331148,15.222369366966921,-94.75925849452265
2026-04-13 11:45:00+00:00,2026-04-13 12:30:00,1,674.83,4708.845,4714.04,5.194999999999709,1.2510082896225554,3.9439917103771536,-90.8152667841455
2026-04-13 12:30:00+00:00,2026-04-13 13:30:00,-1,675.64,4714.04,4733.7865,-19.746500000000196,1.5476274898691973,-21.294127489869393,-112.1093942740149
2026-04-13 13:30:00+00:00,2026-04-13 15:15:00,-1,677.5,4733.7865,4706.8485,26.938000000000102,1.824401411815924,25.11359858818418,-86.99579568583073
2026-04-13 15:15:00+00:00,2026-04-13 17:00:00,-1,679.6799926757812,4706.8485,4738.55,-31.701500000000124,1.4909337663850681,-33.19243376638519,-120.18822945221592
2026-04-13 17:05:00+00:00,2026-04-13 17:50:00,-1,682.239990234375,4729.03,4730.5485,-1.518500000000131,1.5481281515800895,-3.0666281515802205,-123.25485760379614
2026-04-13 17:50:00+00:00,2026-04-13 18:35:00,1,682.1799926757812,4730.5485,4731.95,1.4014999999999418,1.5321390599627627,-0.13063905996282088,-123.38549666375896
2026-04-13 18:50:00+00:00,2026-04-13 19:35:00,-1,683.3599243164062,4739.58,4741.7,-2.119999999999891,1.5705658731611174,-3.6905658731610083,-127.07606253691996
2026-04-13 19:35:00+00:00,2026-04-13 20:20:00,-1,684.1799926757812,4741.7,4740.78,0.9200000000000728,1.5556432780976501,-0.6356432780975774,-127.71170581501754
2026-04-13 20:20:00+00:00,2026-04-13 22:05:00,-1,686.23,4740.78,4748.21,-7.430000000000291,1.561164000759921,-8.991164000760213,-136.70286981577775
2026-04-14 08:05:00+00:00,2026-04-14 08:50:00,-1,687.32,4780.605,4784.5,-3.8950000000004366,1.2216805316891093,-5.116680531689546,-141.8195503474673
2026-04-14 08:55:00+00:00,2026-04-14 09:40:00,-1,687.8835,4786.995,4778.515,8.479999999999563,1.2092291047772503,7.270770895222313,-134.548779452245
2026-04-14 09:40:00+00:00,2026-04-14 10:25:00,1,687.3625,4778.515,4784.045,5.529999999999745,1.2153875790990176,4.314612420900728,-130.23416703134427
2026-04-14 10:40:00+00:00,2026-04-14 11:25:00,1,686.7917,4767.515,4778.36,10.844999999999345,1.2992355821992025,9.545764417800143,-120.68840261354413
2026-04-14 11:25:00+00:00,2026-04-14 12:10:00,-1,687.57,4778.36,4770.0365,8.323499999999513,1.5640000316862177,6.759499968313294,-113.92890264523083
2026-04-14 12:10:00+00:00,2026-04-14 12:55:00,-1,687.96,4770.0365,4771.63,-1.593499999999949,1.5761205351628713,-3.1696205351628204,-117.09852318039366
2026-04-14 14:00:00+00:00,2026-04-14 14:45:00,1,689.630126953125,4795.58,4799.5915,4.011500000000524,1.5226623513570332,2.4888376486434907,-114.60968553175016
2026-04-14 14:50:00+00:00,2026-04-14 15:35:00,-1,691.6500244140625,4801.85,4812.18,-10.329999999999927,1.5210095623508715,-11.851009562350798,-126.46069509410096
2026-04-14 15:35:00+00:00,2026-04-14 16:20:00,-1,692.6900024414062,4812.18,4816.63,-4.449999999999818,1.5599618779305138,-6.009961877930332,-132.4706569720313
2026-04-14 16:30:00+00:00,2026-04-14 17:15:00,-1,693.3200073242188,4815.955,4827.6265,-11.671500000000378,1.5500712682492768,-13.221571268249654,-145.69222824028094
2026-04-14 17:25:00+00:00,2026-04-14 18:10:00,-1,693.739990234375,4825.7465,4838.8465,-13.099999999999454,1.4694281390976778,-14.569428139097132,-160.26165637937808
2026-04-14 18:15:00+00:00,2026-04-14 19:00:00,1,692.9500122070312,4835.9285,4841.3185,5.390000000000327,1.3933445067522503,3.996655493248077,-156.26500088613
2026-04-14 19:05:00+00:00,2026-04-14 19:50:00,-1,693.3770751953125,4841.6585,4841.1415,0.5169999999998254,1.4906003304127935,-0.9736003304129681,-157.23860121654297
2026-04-14 19:55:00+00:00,2026-04-14 22:40:00,1,694.39501953125,4845.0785,4840.36,-4.718499999999949,1.4477119132540293,-6.166211913253978,-163.40481312979696
2026-04-14 23:35:00+00:00,2026-04-15 08:20:00,-1,694.92,4842.48,4810.1915,32.28849999999966,1.6068657076921826,30.681634292307475,-132.72317883748948
2026-04-15 08:20:00+00:00,2026-04-15 10:05:00,1,694.3592,4810.1915,4801.745,-8.446500000000015,1.3248720855361646,-9.771372085536179,-142.49455092302566
2026-04-15 10:05:00+00:00,2026-04-15 10:50:00,1,694.26,4801.745,4803.505,1.7600000000002183,1.2276841162740193,0.532315883726199,-141.96223503929946
2026-04-15 10:55:00+00:00,2026-04-15 12:40:00,-1,694.04,4800.135,4811.8,-11.664999999999964,1.2163129771797778,-12.881312977179741,-154.8435480164792
2026-04-15 12:45:00+00:00,2026-04-15 13:45:00,-1,694.785,4811.035,4825.46,-14.425000000000182,1.2365569155382086,-15.661556915538391,-170.5051049320176
