model,leader,entry_time,exit_time,direction,xau_entry,xau_exit,gross_per_oz,cost_per_oz,ounces,notional,pnl,pnl_per_dollar,desired_notional,equity
EEM_60m_divergence_follow_w12_q0.65_all_h6_cost2.0,EEM,2024-07-26 11:00:00+00:00,2024-08-01 09:00:00,1,2373.305,2433.0935,59.78850000000011,0.7396648014441303,210.67667240409472,500000.0,12440.212108969556,0.024880424217939113,500000.0,904019.2176059274
EEM_60m_divergence_follow_w12_q0.65_all_h6_cost2.0,EEM,2024-07-26 12:00:00+00:00,2024-08-01 10:00:00,1,2377.595,2435.2335,57.63850000000002,0.7617431868884433,210.29653914985522,500000.0,11960.985115865315,0.02392197023173063,500000.0,915980.2027217927
SPY_60m_divergence_follow_w12_q0.55_all_h6_cost2.0,SPY,2024-07-26 12:00:00+00:00,2024-08-01 10:00:00,1,2377.595,2435.2335,57.63850000000002,0.7617431868884433,210.29653914985522,500000.0,11960.985115865315,0.02392197023173063,500000.0,927941.1878376581
EFA_60m_volz_follow_w6_q0.75_all_h8_cost2.0,EFA,2024-07-26 09:00:00+00:00,2024-08-01 10:00:00,1,2373.8315,2435.2335,61.402000000000044,0.7428209080831769,210.6299457227693,500000.0,12776.639599718193,0.025553279199436386,500000.0,940717.8274373763
EEM_60m_divergence_follow_w12_q0.65_all_h6_cost2.0,EEM,2024-07-29 11:00:00+00:00,2024-08-01 13:00:00,1,2387.835,2453.7,65.86499999999978,0.7636290249225087,209.39470273281026,500000.0,13631.882222824708,0.027263764445649416,500000.0,954349.709660201
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2024-08-01 07:00:00+00:00,2024-08-01 18:00:00,1,2440.39,2439.68,-0.7100000000000364,0.829368757139825,204.8852847290802,500000.0,-315.39400610965083,-0.0006307880122193017,500000.0,954034.3156540913
EFA_60m_volz_follow_w6_q0.75_all_h8_cost2.0,EFA,2024-07-29 11:00:00+00:00,2024-08-01 22:00:00,1,2387.835,2445.3135,57.47850000000017,0.7636290249225087,209.39470273281026,500000.0,11875.793548356074,0.02375158709671215,500000.0,965910.1092024473
GDX_60m_divergence_follow_w12_q0.75_all_h8_cost2.0,GDX,2024-08-01 09:00:00+00:00,2024-08-02 09:00:00,-1,2433.0935,2463.975,-30.88149999999996,0.7651157247140074,205.49970644366934,500000.0,-6503.370241364331,-0.013006740482728662,500000.0,959406.738961083
FXI_60m_divergence_follow_w6_q0.55_all_h8_cost2.0,FXI,2024-08-01 10:00:00+00:00,2024-08-02 10:00:00,-1,2435.2335,2463.6215,-28.388000000000375,0.7774554916988716,205.31912032254814,500000.0,-5988.22566536212,-0.01197645133072424,500000.0,953418.5132957209
EWJ_60m_divergence_follow_w12_q0.75_all_h8_cost2.0,EWJ,2024-08-01 10:00:00+00:00,2024-08-02 10:00:00,-1,2435.2335,2463.6215,-28.388000000000375,0.7774554916988716,205.31912032254814,500000.0,-5988.22566536212,-0.01197645133072424,500000.0,947430.2876303588
FXI_60m_divergence_follow_w6_q0.55_all_h8_cost2.0,FXI,2024-08-01 11:00:00+00:00,2024-08-02 11:00:00,-1,2440.8265,2459.305,-18.478499999999713,0.771487142012636,204.84864450627686,500000.0,-3943.333772804488,-0.007886667545608976,500000.0,943486.9538575544
EWJ_60m_divergence_follow_w12_q0.75_all_h8_cost2.0,EWJ,2024-08-01 11:00:00+00:00,2024-08-02 11:00:00,-1,2440.8265,2459.305,-18.478499999999713,0.771487142012636,204.84864450627686,500000.0,-3943.333772804488,-0.007886667545608976,500000.0,939543.6200847499
SPY_60m_divergence_follow_w12_q0.55_all_h6_cost2.0,SPY,2024-08-01 20:00:00+00:00,2024-08-02 12:00:00,-1,2446.495,2472.9415,-26.446500000000015,0.6866779356689692,204.37401261805155,500000.0,-5545.31644979225,-0.0110906328995845,500000.0,933998.3036349576
GDXJ_60m_divergence_follow_w12_q0.85_all_h8_cost2.0,GDXJ,2024-08-01 12:00:00+00:00,2024-08-02 12:00:00,-1,2450.7835,2472.9415,-22.1579999999999,0.756342663396339,204.01638904456473,500000.0,-4674.901447515916,-0.00934980289503183,500000.0,929323.4021874417
EWJ_60m_divergence_follow_w12_q0.75_all_h8_cost2.0,EWJ,2024-08-01 12:00:00+00:00,2024-08-02 12:00:00,-1,2450.7835,2472.9415,-22.1579999999999,0.756342663396339,204.01638904456473,500000.0,-4674.901447515916,-0.00934980289503183,500000.0,924648.5007399258
GDXJ_60m_divergence_follow_w12_q0.85_all_h8_cost2.0,GDXJ,2024-08-01 13:00:00+00:00,2024-08-02 13:00:00,-1,2453.7,2469.965,-16.265000000000327,0.7598936339124271,203.77389248889435,500000.0,-3469.228844991799,-0.006938457689983598,500000.0,921179.271894934
EEM_60m_divergence_follow_w12_q0.65_all_h6_cost2.0,EEM,2024-08-01 22:00:00+00:00,2024-08-02 13:00:00,-1,2445.3135,2469.965,-24.651499999999942,0.896002277095254,204.472759832226,500000.0,-5223.768297417732,-0.010447536594835464,500000.0,915955.5035975162
SPY_60m_divergence_follow_w12_q0.55_all_h6_cost2.0,SPY,2024-08-02 09:00:00+00:00,2024-08-05 08:00:00,-1,2463.975,2425.0755,38.89949999999999,0.7296971881682323,202.92413681145305,500000.0,7745.574287854333,0.015491148575708666,500000.0,923701.0778853706
SPY_60m_divergence_follow_w12_q0.55_all_h6_cost2.0,SPY,2024-08-02 10:00:00+00:00,2024-08-05 11:00:00,-1,2463.6215,2386.8685,76.75300000000016,0.7605006215333421,202.95325397996405,500000.0,15422.925026930234,0.03084585005386047,500000.0,939124.0029123009
