exit_time,equity,cum_pnl,drawdown,drawdown_pct
2026-06-05 08:00:00,4991217.042842608,-8782.95715739195,9883.381608725525,0.1976676321745105
2026-06-05 10:00:00,4988135.214625544,-11864.785374456267,12965.209825789556,0.2593041965157911
2026-06-05 11:00:00,4988520.170998977,-11479.829001022981,12580.253452356905,0.2516050690471381
2026-06-05 11:00:00,4985254.607596455,-14745.392403544407,15845.816854878329,0.31691633709756656
2026-06-05 12:00:00,4992174.867740303,-7825.13225969663,8925.556711030193,0.17851113422060386
2026-06-05 13:00:00,5002785.283916115,2785.2839161145466,0.0,0.0
2026-06-05 18:00:00,4986509.577568036,-13490.422431964682,16275.706348079257,0.32551412696158516
2026-06-05 19:00:00,4969446.2085424885,-30553.791457511295,33339.075373626314,0.6667815074725263
2026-06-05 20:00:00,4960581.612037688,-39418.38796231286,42203.67187842727,0.8440734375685454
2026-06-05 20:00:00,4976100.806347728,-23899.193652271977,26684.477568387054,0.5336895513677411
2026-06-05 20:00:00,4990917.073951587,-9082.926048412977,11868.209964527749,0.23736419929055497
2026-06-05 20:00:00,5005733.341555446,5733.3415554460225,0.0,0.0
2026-06-07 22:00:00,5011110.386917835,11110.386917834847,0.0,0.0
2026-06-08 03:00:00,5011604.592260427,11604.592260427202,0.0,0.0
2026-06-08 04:00:00,5012171.828267628,12171.828267628242,0.0,0.0
2026-06-08 05:00:00,5016303.348949226,16303.348949225197,0.0,0.0
2026-06-08 08:00:00,5035504.191729903,35504.19172990344,0.0,0.0
2026-06-08 08:00:00,5015953.336742447,15953.33674244646,19550.854987456463,0.3910170997491293
2026-06-08 10:00:00,5034636.649967992,34636.649967991616,867.5417619114742,0.017350835238229483
2026-06-08 13:00:00,5034159.676145021,34159.67614502042,1344.5155848823488,0.026890311697646975
2026-06-08 14:00:00,5030427.401663409,30427.401663409062,5076.790066494606,0.10153580132989212
2026-06-08 15:00:00,5024800.038183747,24800.03818374664,10704.153546156362,0.21408307092312726
2026-06-08 20:00:00,5029278.5715839965,29278.571583996978,6225.620145906694,0.12451240291813388
2026-06-08 22:00:00,5028912.060735431,28912.060735430507,6592.130994472653,0.13184261988945306
2026-06-08 22:00:00,5028545.549886864,28545.549886864035,6958.641843039542,0.13917283686079085
2026-06-08 22:00:00,5032339.3429231625,32339.342923162818,3164.848806740716,0.06329697613481432
2026-06-08 23:00:00,5034047.643232131,34047.643232131,1456.5484977718443,0.02913096995543689
2026-06-08 23:00:00,5037311.978853961,37311.97885396107,0.0,0.0
2026-06-08 23:00:00,5033787.765590778,33787.76559077799,3524.213263183832,0.07048426526367665
2026-06-09 00:00:00,5031144.775147529,31144.775147529333,6167.203706432134,0.12334407412864266
2026-06-09 01:00:00,5030551.588813617,30551.588813616534,6760.390040344559,0.13520780080689118
2026-06-09 02:00:00,5030079.800122278,30079.80012227822,7232.178731683642,0.14464357463367283
2026-06-09 11:00:00,5031275.8920074925,31275.89200749285,6036.08684646897,0.12072173692937942
2026-06-09 20:00:00,5038861.602766636,38861.602766635624,0.0,0.0
2026-06-09 20:00:00,5031162.547627467,31162.547627466523,7699.055139169097,0.15398110278338192
2026-06-09 22:00:00,5040314.238673026,40314.238673025444,0.0,0.0
2026-06-09 23:00:00,5028131.969440882,28131.969440882363,12182.269232143648,0.24364538464287294
2026-06-10 01:00:00,5035401.410828405,35401.410828404616,4912.827844620682,0.09825655689241364
