time,XLV
2026-06-04 15:05:00+00:00,151.75999450683594
2026-06-04 15:10:00+00:00,151.74000549316406
2026-06-04 15:15:00+00:00,151.69000244140625
2026-06-04 15:20:00+00:00,151.82000732421875
2026-06-04 15:25:00+00:00,151.94000244140625
2026-06-04 15:30:00+00:00,151.92999267578125
2026-06-04 15:35:00+00:00,151.97799682617188
2026-06-04 15:40:00+00:00,152.00999450683594
2026-06-04 15:45:00+00:00,152.1699981689453
2026-06-04 15:50:00+00:00,152.0850067138672
2026-06-04 15:55:00+00:00,151.75999450683594
2026-06-04 16:00:00+00:00,151.63999938964844
2026-06-04 16:05:00+00:00,151.82000732421875
2026-06-04 16:10:00+00:00,151.72999572753906
2026-06-04 16:15:00+00:00,151.6199951171875
2026-06-04 16:20:00+00:00,151.63499450683594
2026-06-04 16:25:00+00:00,151.85000610351562
2026-06-04 16:30:00+00:00,151.98500061035156
2026-06-04 16:35:00+00:00,151.88999938964844
2026-06-04 16:40:00+00:00,151.86500549316406
2026-06-04 16:45:00+00:00,151.8300018310547
2026-06-04 16:50:00+00:00,151.8350067138672
2026-06-04 16:55:00+00:00,151.77000427246094
2026-06-04 17:00:00+00:00,151.8000946044922
2026-06-04 17:05:00+00:00,151.86000061035156
2026-06-04 17:10:00+00:00,151.72999572753906
2026-06-04 17:15:00+00:00,151.69000244140625
2026-06-04 17:20:00+00:00,151.63499450683594
2026-06-04 17:25:00+00:00,151.6300048828125
2026-06-04 17:30:00+00:00,151.6199951171875
2026-06-04 17:35:00+00:00,151.68499755859375
2026-06-04 17:40:00+00:00,151.67999267578125
2026-06-04 17:45:00+00:00,151.6999969482422
2026-06-04 17:50:00+00:00,151.58999633789062
2026-06-04 17:55:00+00:00,151.47999572753906
2026-06-04 18:00:00+00:00,151.4149932861328
2026-06-04 18:05:00+00:00,151.1699981689453
2026-06-04 18:10:00+00:00,151.27999877929688
2026-06-04 18:15:00+00:00,151.35000610351562
2026-06-04 18:20:00+00:00,151.53500366210938
2026-06-04 18:25:00+00:00,151.47999572753906
2026-06-04 18:30:00+00:00,151.58999633789062
2026-06-04 18:35:00+00:00,151.6699981689453
2026-06-04 18:40:00+00:00,151.61000061035156
2026-06-04 18:45:00+00:00,151.64999389648438
2026-06-04 18:50:00+00:00,151.64500427246094
2026-06-04 18:55:00+00:00,151.77999877929688
2026-06-04 19:00:00+00:00,151.7550048828125
